exposure_a,exposure_b,common_n,pearson_r,spearman_rho
5km,10km,186,0.7175147425306644,0.8314493957025213
10km,20km,193,0.9242064080433731,0.9410995867778257
5km,20km,186,0.7232382752005492,0.8016120226612276
10km,complete4_10km,157,0.9296600547327329,0.9366065281972723
