station,year,eligible_5km,eligible_10km,eligible_20km,eligible_complete4_10km,in_frozen_primary_10km
PO0181180U0019,2016,True,True,True,False,True
PO0181180U0019,2017,True,True,True,False,True
PO0181180U0019,2018,True,True,True,False,True
PO0181220U0001,2016,False,False,True,False,False
PO0181220U0001,2017,False,False,True,False,False
PO0181220U0001,2019,False,False,True,False,False
PO018146NRP001,2016,True,True,True,True,True
PO018146NRP001,2017,True,True,True,True,True
PO018146NRP001,2018,True,True,True,True,True
PO018146NRP001,2019,True,True,True,True,True
PO018146NRP001,2020,True,True,True,True,True
PO018147NUP001,2016,True,True,True,True,True
PO018147NUP001,2017,True,True,True,True,True
PO018147NUP001,2018,True,True,True,True,True
PO018147NUP001,2019,True,True,True,True,True
PO018147NUP001,2020,True,True,True,True,True
PO018147NUP001,2021,True,True,True,True,True
PO018147NUP001,2022,True,True,True,True,True
PO018147NUP001,2024,True,True,True,True,True
PO018147NUP001,2025,True,True,True,True,True
PO0181550U0001,2015,False,False,True,False,False
PO0181550U0001,2016,False,False,True,False,False
PO0181550U0001,2017,False,False,True,False,False
PO0181550U0001,2018,False,False,True,False,False
PO0181550U0001,2019,False,False,True,False,False
PO0181550U0001,2020,False,False,True,False,False
PO0181550U0001,2021,False,False,True,False,False
PO018162NUP001,2017,True,True,True,True,True
PO018162NUP001,2018,True,True,True,True,True
PO018162NUP001,2019,True,True,True,True,True
PO018162NUP001,2021,True,True,True,True,True
PO018162NUP001,2022,True,True,True,True,True
PO018162NUP001,2023,True,True,True,True,True
PO018162NUP001,2024,True,True,True,True,True
PO018162NUP001,2025,True,True,True,True,True
PO018173NUP001,2017,True,True,True,True,True
PO018173NUP001,2018,True,True,True,True,True
PO018173NUP001,2019,True,True,True,True,True
PO018173NUP001,2021,True,True,True,True,True
PO018173NUP001,2022,True,True,True,True,True
PO018173NUP001,2023,True,True,True,True,True
PO018173NUP001,2024,True,True,True,True,True
PO018173NUP001,2025,True,True,True,True,True
PO018176NUP001,2017,True,True,True,True,True
PO018176NUP001,2018,True,True,True,True,True
PO018176NUP001,2019,True,True,True,True,True
PO018176NUP001,2021,True,True,True,True,True
PO018176NUP001,2022,True,True,True,True,True
PO018176NUP001,2023,True,True,True,True,True
PO018176NUP001,2024,True,True,True,True,True
PO018176NUP001,2025,True,True,True,True,True
PO0181770U0020,2015,True,True,True,True,True
PO0181770U0020,2016,True,True,True,True,True
PO0181770U0020,2018,True,True,True,True,True
PO018180NUP001,2018,True,True,True,False,True
PO018180NUP001,2021,True,True,True,False,True
PO018180NUP001,2022,True,True,True,False,True
PO018180NUP001,2023,True,True,True,False,True
PO018180NUP001,2024,True,True,True,False,True
PO018180NUP001,2025,True,True,True,False,True
