year,orbit_state,relative_orbit,support_id,passed,max_abs_error
2018,ascending,88,RFIT_4331,True,1.7763568394002505e-15
2018,descending,168,RFIT_0001,True,3.552713678800501e-15
2018,descending,168,RFIT_0723,True,3.552713678800501e-15
2018,descending,168,RFIT_1444,True,0.0
2018,descending,168,RFIT_2166,True,0.0
2018,descending,168,RFIT_2888,True,0.0
2018,descending,168,RFIT_3609,True,1.7763568394002505e-15
2018,descending,168,RFIT_4331,True,0.0
2018,descending,66,RFIT_0001,True,3.552713678800501e-15
2018,descending,66,RFIT_0723,True,1.7763568394002505e-15
2018,descending,66,RFIT_1444,True,1.7763568394002505e-15
2018,descending,66,RFIT_2166,True,3.552713678800501e-15
2018,descending,66,RFIT_2888,True,3.552713678800501e-15
2018,descending,66,RFIT_3609,True,1.7763568394002505e-15
2018,descending,66,RFIT_4331,True,0.0
2019,ascending,15,RFIT_0001,True,1.7763568394002505e-15
2019,ascending,15,RFIT_0723,True,3.552713678800501e-15
2019,ascending,15,RFIT_1444,True,3.552713678800501e-15
2019,ascending,15,RFIT_2166,True,3.552713678800501e-15
2019,ascending,15,RFIT_2888,True,3.552713678800501e-15
2019,ascending,15,RFIT_3609,True,1.7763568394002505e-15
2019,ascending,15,RFIT_4331,True,3.552713678800501e-15
2019,ascending,88,RFIT_0001,True,3.552713678800501e-15
2019,ascending,88,RFIT_0723,True,4.440892098500626e-16
2019,ascending,88,RFIT_1444,True,1.7763568394002505e-15
2019,ascending,88,RFIT_2166,True,1.7763568394002505e-15
2019,ascending,88,RFIT_2888,True,3.552713678800501e-15
2019,ascending,88,RFIT_3609,True,0.0
2019,ascending,88,RFIT_4331,True,1.7763568394002505e-15
2019,descending,168,RFIT_0001,True,8.881784197001252e-16
2019,descending,168,RFIT_0723,True,0.0
2019,descending,168,RFIT_1444,True,0.0
2019,descending,168,RFIT_2166,True,0.0
2019,descending,168,RFIT_2888,True,0.0
2019,descending,168,RFIT_3609,True,1.7763568394002505e-15
2019,descending,168,RFIT_4331,True,0.0
2019,descending,66,RFIT_0001,True,3.552713678800501e-15
2019,descending,66,RFIT_0723,True,3.552713678800501e-15
2019,descending,66,RFIT_1444,True,3.552713678800501e-15
2019,descending,66,RFIT_2166,True,1.7763568394002505e-15
2019,descending,66,RFIT_2888,True,3.552713678800501e-15
2019,descending,66,RFIT_3609,True,1.7763568394002505e-15
2019,descending,66,RFIT_4331,True,1.7763568394002505e-15
2020,ascending,15,RFIT_0001,True,0.0
2020,ascending,15,RFIT_0723,True,1.7763568394002505e-15
2020,ascending,15,RFIT_1444,True,3.552713678800501e-15
2020,ascending,15,RFIT_2166,True,1.7763568394002505e-15
2020,ascending,15,RFIT_2888,True,1.7763568394002505e-15
2020,ascending,15,RFIT_3609,True,1.7763568394002505e-15
2020,ascending,15,RFIT_4331,True,1.7763568394002505e-15
2020,ascending,88,RFIT_0001,True,3.552713678800501e-15
2020,ascending,88,RFIT_0723,True,4.440892098500626e-16
2020,ascending,88,RFIT_1444,True,3.552713678800501e-15
2020,ascending,88,RFIT_2166,True,1.7763568394002505e-15
2020,ascending,88,RFIT_2888,True,3.552713678800501e-15
2020,ascending,88,RFIT_3609,True,0.0
2020,ascending,88,RFIT_4331,True,1.7763568394002505e-15
2020,descending,168,RFIT_0001,True,3.552713678800501e-15
2020,descending,168,RFIT_0723,True,1.7763568394002505e-15
2020,descending,168,RFIT_1444,True,0.0
2020,descending,168,RFIT_2166,True,0.0
2020,descending,168,RFIT_2888,True,0.0
2020,descending,168,RFIT_3609,True,1.7763568394002505e-15
2020,descending,168,RFIT_4331,True,0.0
2020,descending,66,RFIT_0001,True,3.552713678800501e-15
2020,descending,66,RFIT_0723,True,3.552713678800501e-15
2020,descending,66,RFIT_1444,True,3.552713678800501e-15
2020,descending,66,RFIT_2166,True,3.552713678800501e-15
2020,descending,66,RFIT_2888,True,3.552713678800501e-15
2020,descending,66,RFIT_3609,True,3.552713678800501e-15
2020,descending,66,RFIT_4331,True,3.552713678800501e-15
2021,ascending,15,RFIT_0001,True,1.7763568394002505e-15
2021,ascending,15,RFIT_0723,True,1.7763568394002505e-15
2021,ascending,15,RFIT_1444,True,1.7763568394002505e-15
2021,ascending,15,RFIT_2166,True,0.0
2021,ascending,15,RFIT_2888,True,0.0
2021,ascending,15,RFIT_3609,True,3.552713678800501e-15
2021,ascending,15,RFIT_4331,True,3.552713678800501e-15
2021,ascending,88,RFIT_0001,True,3.552713678800501e-15
2021,ascending,88,RFIT_0723,True,1.7763568394002505e-15
2021,ascending,88,RFIT_1444,True,3.552713678800501e-15
2021,ascending,88,RFIT_2166,True,3.552713678800501e-15
2021,ascending,88,RFIT_2888,True,3.552713678800501e-15
2021,ascending,88,RFIT_3609,True,0.0
2021,ascending,88,RFIT_4331,True,1.7763568394002505e-15
2021,descending,168,RFIT_0001,True,0.0
2021,descending,168,RFIT_0723,True,3.552713678800501e-15
2021,descending,168,RFIT_1444,True,0.0
2021,descending,168,RFIT_2166,True,0.0
2021,descending,168,RFIT_2888,True,0.0
2021,descending,168,RFIT_3609,True,1.7763568394002505e-15
2021,descending,168,RFIT_4331,True,0.0
2021,descending,66,RFIT_0001,True,1.7763568394002505e-15
2021,descending,66,RFIT_0723,True,1.7763568394002505e-15
2021,descending,66,RFIT_1444,True,1.7763568394002505e-15
2021,descending,66,RFIT_2166,True,3.552713678800501e-15
2021,descending,66,RFIT_2888,True,3.552713678800501e-15
2021,descending,66,RFIT_3609,True,3.552713678800501e-15
2021,descending,66,RFIT_4331,True,1.7763568394002505e-15
2022,ascending,15,RFIT_0001,True,1.7763568394002505e-15
2022,ascending,15,RFIT_0723,True,1.7763568394002505e-15
2022,ascending,15,RFIT_1444,True,3.552713678800501e-15
2022,ascending,15,RFIT_2166,True,3.552713678800501e-15
2022,ascending,15,RFIT_2888,True,1.7763568394002505e-15
2022,ascending,15,RFIT_3609,True,3.552713678800501e-15
2022,ascending,15,RFIT_4331,True,3.552713678800501e-15
2022,ascending,88,RFIT_0001,True,3.552713678800501e-15
2022,ascending,88,RFIT_0723,True,1.7763568394002505e-15
2022,ascending,88,RFIT_1444,True,3.552713678800501e-15
2022,ascending,88,RFIT_2166,True,0.0
2022,ascending,88,RFIT_2888,True,3.552713678800501e-15
2022,ascending,88,RFIT_3609,True,0.0
2022,ascending,88,RFIT_4331,True,1.7763568394002505e-15
2022,descending,168,RFIT_0001,True,3.552713678800501e-15
2022,descending,168,RFIT_0723,True,3.552713678800501e-15
2022,descending,168,RFIT_1444,True,0.0
2022,descending,168,RFIT_2166,True,0.0
2022,descending,168,RFIT_2888,True,0.0
2022,descending,168,RFIT_3609,True,1.7763568394002505e-15
2022,descending,168,RFIT_4331,True,0.0
2022,descending,66,RFIT_0001,True,5.551115123125783e-17
2022,descending,66,RFIT_0723,True,3.552713678800501e-15
2022,descending,66,RFIT_1444,True,1.7763568394002505e-15
2022,descending,66,RFIT_2166,True,3.552713678800501e-15
2022,descending,66,RFIT_2888,True,1.7763568394002505e-15
2022,descending,66,RFIT_3609,True,3.552713678800501e-15
2022,descending,66,RFIT_4331,True,3.552713678800501e-15
2023,ascending,15,RFIT_0001,True,3.552713678800501e-15
2023,ascending,15,RFIT_0723,True,3.552713678800501e-15
2023,ascending,15,RFIT_1444,True,3.552713678800501e-15
2023,ascending,15,RFIT_2166,True,3.552713678800501e-15
2023,ascending,15,RFIT_2888,True,1.7763568394002505e-15
2023,ascending,15,RFIT_3609,True,1.7763568394002505e-15
2023,ascending,15,RFIT_4331,True,3.552713678800501e-15
2023,ascending,88,RFIT_0001,True,3.552713678800501e-15
2023,ascending,88,RFIT_0723,True,3.552713678800501e-15
2023,ascending,88,RFIT_1444,True,3.552713678800501e-15
2023,ascending,88,RFIT_2166,True,1.7763568394002505e-15
2023,ascending,88,RFIT_2888,True,3.552713678800501e-15
2023,ascending,88,RFIT_3609,True,0.0
2023,ascending,88,RFIT_4331,True,3.552713678800501e-15
2023,descending,168,RFIT_0001,True,1.7763568394002505e-15
2023,descending,168,RFIT_0723,True,1.7763568394002505e-15
2023,descending,168,RFIT_1444,True,0.0
2023,descending,168,RFIT_2166,True,0.0
2023,descending,168,RFIT_2888,True,0.0
2023,descending,168,RFIT_3609,True,1.7763568394002505e-15
2023,descending,168,RFIT_4331,True,0.0
2023,descending,66,RFIT_0001,True,1.7763568394002505e-15
2023,descending,66,RFIT_0723,True,1.7763568394002505e-15
2023,descending,66,RFIT_1444,True,3.552713678800501e-15
2023,descending,66,RFIT_2166,True,3.552713678800501e-15
2023,descending,66,RFIT_2888,True,3.552713678800501e-15
2023,descending,66,RFIT_3609,True,3.552713678800501e-15
2023,descending,66,RFIT_4331,True,8.881784197001252e-16
2024,ascending,15,RFIT_0001,True,1.7763568394002505e-15
2024,ascending,15,RFIT_0723,True,3.552713678800501e-15
2024,ascending,15,RFIT_1444,True,1.7763568394002505e-15
2024,ascending,15,RFIT_2166,True,3.552713678800501e-15
2024,ascending,15,RFIT_2888,True,0.0
2024,ascending,15,RFIT_3609,True,1.7763568394002505e-15
2024,ascending,15,RFIT_4331,True,1.7763568394002505e-15
2024,ascending,88,RFIT_0001,True,3.552713678800501e-15
2024,ascending,88,RFIT_0723,True,3.552713678800501e-15
2024,ascending,88,RFIT_1444,True,3.552713678800501e-15
2024,ascending,88,RFIT_2166,True,3.552713678800501e-15
2024,ascending,88,RFIT_2888,True,1.7763568394002505e-15
2024,ascending,88,RFIT_3609,True,0.0
2024,ascending,88,RFIT_4331,True,1.7763568394002505e-15
2024,descending,168,RFIT_0001,True,3.552713678800501e-15
2024,descending,168,RFIT_0723,True,8.881784197001252e-16
2024,descending,168,RFIT_1444,True,0.0
2024,descending,168,RFIT_2166,True,0.0
2024,descending,168,RFIT_2888,True,0.0
2024,descending,168,RFIT_3609,True,1.7763568394002505e-15
2024,descending,168,RFIT_4331,True,0.0
2024,descending,66,RFIT_0001,True,3.552713678800501e-15
2024,descending,66,RFIT_0723,True,1.7763568394002505e-15
2024,descending,66,RFIT_1444,True,3.552713678800501e-15
2024,descending,66,RFIT_2166,True,3.552713678800501e-15
2024,descending,66,RFIT_2888,True,3.552713678800501e-15
2024,descending,66,RFIT_3609,True,1.7763568394002505e-15
2024,descending,66,RFIT_4331,True,1.7763568394002505e-15
2025,ascending,15,RFIT_0001,True,0.0
2025,ascending,15,RFIT_0723,True,1.7763568394002505e-15
2025,ascending,15,RFIT_1444,True,3.552713678800501e-15
2025,ascending,15,RFIT_2166,True,1.7763568394002505e-15
2025,ascending,15,RFIT_2888,True,3.552713678800501e-15
2025,ascending,15,RFIT_3609,True,8.881784197001252e-16
2025,ascending,15,RFIT_4331,True,1.7763568394002505e-15
2025,ascending,88,RFIT_0001,True,3.552713678800501e-15
2025,ascending,88,RFIT_0723,True,3.552713678800501e-15
2025,ascending,88,RFIT_1444,True,3.552713678800501e-15
2025,ascending,88,RFIT_2166,True,3.552713678800501e-15
2025,ascending,88,RFIT_2888,True,1.7763568394002505e-15
2025,ascending,88,RFIT_3609,True,0.0
2025,ascending,88,RFIT_4331,True,1.7763568394002505e-15
2025,descending,168,RFIT_0001,True,3.552713678800501e-15
2025,descending,168,RFIT_0723,True,3.552713678800501e-15
2025,descending,168,RFIT_1444,True,0.0
2025,descending,168,RFIT_2166,True,0.0
2025,descending,168,RFIT_2888,True,0.0
2025,descending,168,RFIT_3609,True,3.552713678800501e-15
2025,descending,168,RFIT_4331,True,0.0
2025,descending,66,RFIT_0001,True,1.7763568394002505e-15
2025,descending,66,RFIT_0723,True,3.552713678800501e-15
2025,descending,66,RFIT_1444,True,0.0
2025,descending,66,RFIT_2166,True,1.7763568394002505e-15
2025,descending,66,RFIT_2888,True,3.552713678800501e-15
2025,descending,66,RFIT_3609,True,1.7763568394002505e-15
2025,descending,66,RFIT_4331,True,3.552713678800501e-15
