station,year,support_points_10km_n,valid_support_points_n,frozen_s1_flooding_like_10km,recomputed_s1_flooding_like_10km,absolute_difference,exact_within_1e_12
PO018003NR0009,2016,340,340,0.2062554873317829,0.20625548733178295,5.551115123125783e-17,True
PO018003NR0009,2020,340,340,0.1447459458592629,0.14474594585926298,8.326672684688674e-17,True
PO018003NR0009,2023,340,340,0.0904906035429528,0.0904906035429528,0.0,True
PO018068NRP001,2016,241,241,-0.0251491801069596,-0.0251491801069596,0.0,True
PO018068NRP001,2017,241,241,0.2239004796621296,0.2239004796621296,0.0,True
PO018068NRP001,2018,241,241,-0.1706947012995226,-0.1706947012995226,0.0,True
PO018180NUP001,2018,247,247,-0.3392168399908493,-0.3392168399908493,0.0,True
PO018180NUP001,2023,247,247,0.1107520652270172,0.1107520652270172,0.0,True
PO018180NUP001,2025,247,247,-0.0750985024079949,-0.0750985024079949,0.0,True
