stage,n,mean,sd,variance,min,max,range,variance_fraction_of_raw
raw_s1_exposure,193,0.029592967139999603,0.2980845181270641,0.08885437994704402,-0.9079423212906392,0.728706046674471,1.6366483679651103,1.0
after_station_fe,193,-2.689414609263608e-15,0.25924313335548604,0.06720700219197033,-0.7136116945667158,0.7257401575251796,1.4393518520918955,0.756372417792176
after_year_fe,193,2.7289627092340634e-15,0.1714947562985579,0.029410451437901764,-0.6933414983221855,0.6012695330285889,1.2946110313507744,0.33099607982667806
after_station_plus_year_fe,193,9.327599142122753e-16,0.09989385153409686,0.009978781574316186,-0.605521163021565,0.6918744128366864,1.2973955758582514,0.11230489234479382
after_station_year_fe_plus_antecedent_gw,193,2.310759528455572e-15,0.09975972357428967,0.009952002447618685,-0.6003288187608209,0.6877734065747172,1.288102225335538,0.1120035101651707
