scene_id,checkpoint_path,checkpoint_read_ok,checkpoint_read_error,year,acquisition_date,orbit_state,relative_orbit,platform,rows_n,zero_support_checkpoint,scene_id_values_n,scene_id_matches_filename,support_ids_n,duplicate_support_rows_n,vv_raster_inside_n,vv_calibration_fail_n,vv_noise_fail_n,vv_nonpositive_n,vv_valid_corrected_sigma0_n,vh_raster_inside_n,vh_calibration_fail_n,vh_noise_fail_n,vh_nonpositive_n,vh_valid_corrected_sigma0_n
S1B_IW_GRDH_1SDV_20200809T053449_20200809T053514_022842_02B5BB_E8F0_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1B_IW_GRDH_1SDV_20200809T053449_20200809T053514_022842_02B5BB_E8F0_COG.csv.gz,True,,2020,2020-08-09,descending,66,sentinel-1b,3701,False,1,True,3701,0,3701,0,0,0,3701,3701,0,0,12,3689
S1B_IW_GRDH_1SDV_20200809T053456_20200809T053521_022842_02B5BB_D36D_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1B_IW_GRDH_1SDV_20200809T053456_20200809T053521_022842_02B5BB_D36D_COG.csv.gz,True,,2020,2020-08-09,descending,66,sentinel-1b,4331,False,1,True,4331,0,4331,0,0,0,4331,4331,0,0,11,4320
S1B_IW_GRDH_1SDV_20200809T053514_20200809T053539_022842_02B5BB_D535_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1B_IW_GRDH_1SDV_20200809T053514_20200809T053539_022842_02B5BB_D535_COG.csv.gz,True,,2020,2020-08-09,descending,66,sentinel-1b,630,False,1,True,630,0,630,0,0,0,630,630,0,0,3,627
S1B_IW_GRDH_1SDV_20200810T172231_20200810T172256_022864_02B66E_03E3_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1B_IW_GRDH_1SDV_20200810T172231_20200810T172256_022864_02B66E_03E3_COG.csv.gz,True,,2020,2020-08-10,ascending,88,sentinel-1b,3800,False,1,True,3800,0,3800,0,0,149,3651,3800,0,0,155,3645
S1B_IW_GRDH_1SDV_20200810T172231_20200810T172256_022864_02B66E_4519_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1B_IW_GRDH_1SDV_20200810T172231_20200810T172256_022864_02B66E_4519_COG.csv.gz,True,,2020,2020-08-10,ascending,88,sentinel-1b,3800,False,1,True,3800,0,3800,0,0,149,3651,3800,0,0,155,3645
S1A_IW_GRDH_1SDV_20200810T052712_20200810T052737_033840_03EC7E_D41C_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20200810T052712_20200810T052737_033840_03EC7E_D41C_COG.csv.gz,True,,2020,2020-08-10,descending,168,sentinel-1a,0,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0
S1A_IW_GRDH_1SDV_20200810T052717_20200810T052742_033840_03EC7E_670A_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20200810T052717_20200810T052742_033840_03EC7E_670A_COG.csv.gz,True,,2020,2020-08-10,descending,168,sentinel-1a,624,False,1,True,624,0,624,0,0,147,477,624,0,0,147,477
S1A_IW_GRDH_1SDV_20200810T052737_20200810T052802_033840_03EC7E_3123_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20200810T052737_20200810T052802_033840_03EC7E_3123_COG.csv.gz,True,,2020,2020-08-10,descending,168,sentinel-1a,2421,False,1,True,2421,0,2421,0,0,304,2117,2421,0,0,308,2113
S1A_IW_GRDH_1SDV_20200810T052742_20200810T052807_033840_03EC7E_A363_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20200810T052742_20200810T052807_033840_03EC7E_A363_COG.csv.gz,True,,2020,2020-08-10,descending,168,sentinel-1a,1990,False,1,True,1990,0,1990,0,0,361,1629,1990,0,0,362,1628
S1A_IW_GRDH_1SDV_20200811T171503_20200811T171528_033862_03ED41_7BC1_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20200811T171503_20200811T171528_033862_03ED41_7BC1_COG.csv.gz,True,,2020,2020-08-11,ascending,15,sentinel-1a,4331,False,1,True,4331,0,4331,0,0,3,4328,4331,0,0,32,4299
S1A_IW_GRDH_1SDV_20200815T053530_20200815T053555_033913_03EF0C_5113_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20200815T053530_20200815T053555_033913_03EF0C_5113_COG.csv.gz,True,,2020,2020-08-15,descending,66,sentinel-1a,3329,False,1,True,3329,0,3329,0,0,1,3328,3329,0,0,11,3318
S1A_IW_GRDH_1SDV_20200815T053530_20200815T053555_033913_03EF0C_655B_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20200815T053530_20200815T053555_033913_03EF0C_655B_COG.csv.gz,True,,2020,2020-08-15,descending,66,sentinel-1a,3521,False,1,True,3521,0,3521,0,0,0,3521,3521,0,0,14,3507
S1A_IW_GRDH_1SDV_20200815T053555_20200815T053620_033913_03EF0C_AD44_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20200815T053555_20200815T053620_033913_03EF0C_AD44_COG.csv.gz,True,,2020,2020-08-15,descending,66,sentinel-1a,1002,False,1,True,1002,0,1002,0,0,0,1002,1002,0,0,9,993
