scene_id,year,acquisition_date,orbit_state,relative_orbit,polarization,support_id,lon,lat,vv_image_row,vv_image_col,vv_raster_inside,vv_calibration_support_ok,vv_noise_support_ok,vv_noise_power_eta,vv_noise_range_component,vv_noise_azimuth_component,vv_noise_azimuth_candidate_blocks_n,vh_image_row,vh_image_col,vh_raster_inside,vh_calibration_support_ok,vh_noise_support_ok,vh_noise_power_eta,vh_noise_range_component,vh_noise_azimuth_component,vh_noise_azimuth_candidate_blocks_n
S1C_IW_GRDH_1SDV_20250421T053447_20250421T053516_001987_003FE6_9043_COG,2025,2025-04-21,descending,66,VH,RFIT_1977,8.696735448,45.26666505,,,,,,,,,,536.0,9564.0,True,True,False,,,,
S1C_IW_GRDH_1SDV_20250421T053447_20250421T053516_001987_003FE6_9043_COG,2025,2025-04-21,descending,66,VH,RFIT_1978,8.708575796,45.26666505,,,,,,,,,,520.0,9473.0,True,True,False,,,,
S1C_IW_GRDH_1SDV_20250421T053447_20250421T053516_001987_003FE6_9043_COG,2025,2025-04-21,descending,66,VH,RFIT_1979,8.720416144,45.26666505,,,,,,,,,,504.0,9382.0,True,True,False,,,,
S1C_IW_GRDH_1SDV_20250421T053447_20250421T053516_001987_003FE6_9043_COG,2025,2025-04-21,descending,66,VH,RFIT_1980,8.732256491,45.26666505,,,,,,,,,,487.0,9291.0,True,True,False,,,,
S1C_IW_GRDH_1SDV_20250421T053447_20250421T053516_001987_003FE6_9043_COG,2025,2025-04-21,descending,66,VH,RFIT_1981,8.744096839,45.26666505,,,,,,,,,,471.0,9200.0,True,True,False,,,,
S1C_IW_GRDH_1SDV_20250421T053447_20250421T053516_001987_003FE6_9043_COG,2025,2025-04-21,descending,66,VH,RFIT_1982,8.755937187,45.26666505,,,,,,,,,,455.0,9109.0,True,True,False,,,,
S1C_IW_GRDH_1SDV_20250421T053447_20250421T053516_001987_003FE6_9043_COG,2025,2025-04-21,descending,66,VH,RFIT_2065,8.496696977,45.27499838,,,,,,,,,,718.0,11114.0,True,True,False,,,,
S1C_IW_GRDH_1SDV_20250421T053447_20250421T053516_001987_003FE6_9043_COG,2025,2025-04-21,descending,66,VH,RFIT_2066,8.508539063,45.27499838,,,,,,,,,,702.0,11024.0,True,True,False,,,,
S1C_IW_GRDH_1SDV_20250421T053447_20250421T053516_001987_003FE6_9043_COG,2025,2025-04-21,descending,66,VH,RFIT_2067,8.52038115,45.27499838,,,,,,,,,,686.0,10933.0,True,True,False,,,,
S1C_IW_GRDH_1SDV_20250421T053447_20250421T053516_001987_003FE6_9043_COG,2025,2025-04-21,descending,66,VH,RFIT_2068,8.532223236,45.27499838,,,,,,,,,,670.0,10842.0,True,True,False,,,,
S1C_IW_GRDH_1SDV_20250421T053447_20250421T053516_001987_003FE6_9043_COG,2025,2025-04-21,descending,66,VH,RFIT_2069,8.555907409,45.27499838,,,,,,,,,,638.0,10661.0,True,True,False,,,,
S1C_IW_GRDH_1SDV_20250421T053447_20250421T053516_001987_003FE6_9043_COG,2025,2025-04-21,descending,66,VH,RFIT_2070,8.567749495,45.27499838,,,,,,,,,,622.0,10570.0,True,True,False,,,,
S1C_IW_GRDH_1SDV_20250421T053447_20250421T053516_001987_003FE6_9043_COG,2025,2025-04-21,descending,66,VH,RFIT_2071,8.579591582,45.27499838,,,,,,,,,,606.0,10479.0,True,True,False,,,,
S1C_IW_GRDH_1SDV_20250421T053447_20250421T053516_001987_003FE6_9043_COG,2025,2025-04-21,descending,66,VH,RFIT_2072,8.591433668,45.27499838,,,,,,,,,,590.0,10388.0,True,True,False,,,,
S1C_IW_GRDH_1SDV_20250421T053447_20250421T053516_001987_003FE6_9043_COG,2025,2025-04-21,descending,66,VH,RFIT_2073,8.603275754,45.27499838,,,,,,,,,,574.0,10298.0,True,True,False,,,,
S1C_IW_GRDH_1SDV_20250421T053447_20250421T053516_001987_003FE6_9043_COG,2025,2025-04-21,descending,66,VH,RFIT_2074,8.615117841,45.27499838,,,,,,,,,,558.0,10207.0,True,True,False,,,,
S1C_IW_GRDH_1SDV_20250421T053447_20250421T053516_001987_003FE6_9043_COG,2025,2025-04-21,descending,66,VH,RFIT_2075,8.626959927,45.27499838,,,,,,,,,,541.0,10116.0,True,True,False,,,,
S1C_IW_GRDH_1SDV_20250421T053447_20250421T053516_001987_003FE6_9043_COG,2025,2025-04-21,descending,66,VH,RFIT_2076,8.638802014,45.27499838,,,,,,,,,,525.0,10025.0,True,True,False,,,,
S1C_IW_GRDH_1SDV_20250421T053447_20250421T053516_001987_003FE6_9043_COG,2025,2025-04-21,descending,66,VH,RFIT_2077,8.6506441,45.27499838,,,,,,,,,,509.0,9934.0,True,True,False,,,,
S1C_IW_GRDH_1SDV_20250421T053447_20250421T053516_001987_003FE6_9043_COG,2025,2025-04-21,descending,66,VH,RFIT_2078,8.662486186,45.27499838,,,,,,,,,,493.0,9844.0,True,True,False,,,,
S1C_IW_GRDH_1SDV_20250421T053447_20250421T053516_001987_003FE6_9043_COG,2025,2025-04-21,descending,66,VH,RFIT_2079,8.674328273,45.27499838,,,,,,,,,,477.0,9753.0,True,True,False,,,,
S1C_IW_GRDH_1SDV_20250421T053447_20250421T053516_001987_003FE6_9043_COG,2025,2025-04-21,descending,66,VH,RFIT_2080,8.686170359,45.27499838,,,,,,,,,,461.0,9662.0,True,True,False,,,,
S1C_IW_GRDH_1SDV_20250421T053447_20250421T053516_001987_003FE6_9043_COG,2025,2025-04-21,descending,66,VH,RFIT_2081,8.698012445,45.27499838,,,,,,,,,,444.0,9571.0,True,True,False,,,,
S1C_IW_GRDH_1SDV_20250421T053447_20250421T053516_001987_003FE6_9043_COG,2025,2025-04-21,descending,66,VH,RFIT_2082,8.709854532,45.27499838,,,,,,,,,,428.0,9480.0,True,True,False,,,,
S1C_IW_GRDH_1SDV_20250421T053447_20250421T053516_001987_003FE6_9043_COG,2025,2025-04-21,descending,66,VH,RFIT_2083,8.721696618,45.27499838,,,,,,,,,,412.0,9390.0,True,True,False,,,,
S1C_IW_GRDH_1SDV_20250421T053447_20250421T053516_001987_003FE6_9043_COG,2025,2025-04-21,descending,66,VH,RFIT_2084,8.733538705,45.27499838,,,,,,,,,,396.0,9299.0,True,True,False,,,,
S1C_IW_GRDH_1SDV_20250421T053447_20250421T053516_001987_003FE6_9043_COG,2025,2025-04-21,descending,66,VH,RFIT_2085,8.745380791,45.27499838,,,,,,,,,,379.0,9208.0,True,True,False,,,,
S1C_IW_GRDH_1SDV_20250421T053447_20250421T053516_001987_003FE6_9043_COG,2025,2025-04-21,descending,66,VH,RFIT_2160,8.438725836,45.28333171,,,,,,,,,,707.0,11576.0,True,True,False,,,,
S1C_IW_GRDH_1SDV_20250421T053447_20250421T053516_001987_003FE6_9043_COG,2025,2025-04-21,descending,66,VH,RFIT_2161,8.450569662,45.28333171,,,,,,,,,,691.0,11485.0,True,True,False,,,,
S1C_IW_GRDH_1SDV_20250421T053447_20250421T053516_001987_003FE6_9043_COG,2025,2025-04-21,descending,66,VH,RFIT_2162,8.462413487,45.28333171,,,,,,,,,,675.0,11394.0,True,True,False,,,,
S1C_IW_GRDH_1SDV_20250421T053447_20250421T053516_001987_003FE6_9043_COG,2025,2025-04-21,descending,66,VH,RFIT_2163,8.474257313,45.28333171,,,,,,,,,,659.0,11303.0,True,True,False,,,,
S1C_IW_GRDH_1SDV_20250421T053447_20250421T053516_001987_003FE6_9043_COG,2025,2025-04-21,descending,66,VH,RFIT_2164,8.486101139,45.28333171,,,,,,,,,,643.0,11213.0,True,True,False,,,,
S1C_IW_GRDH_1SDV_20250421T053447_20250421T053516_001987_003FE6_9043_COG,2025,2025-04-21,descending,66,VH,RFIT_2165,8.497944965,45.28333171,,,,,,,,,,627.0,11122.0,True,True,False,,,,
S1C_IW_GRDH_1SDV_20250421T053447_20250421T053516_001987_003FE6_9043_COG,2025,2025-04-21,descending,66,VH,RFIT_2166,8.50978879,45.28333171,,,,,,,,,,611.0,11031.0,True,True,False,,,,
S1C_IW_GRDH_1SDV_20250421T053447_20250421T053516_001987_003FE6_9043_COG,2025,2025-04-21,descending,66,VH,RFIT_2167,8.521632616,45.28333171,,,,,,,,,,595.0,10941.0,True,True,False,,,,
S1C_IW_GRDH_1SDV_20250421T053447_20250421T053516_001987_003FE6_9043_COG,2025,2025-04-21,descending,66,VH,RFIT_2168,8.545320268,45.28333171,,,,,,,,,,563.0,10759.0,True,True,False,,,,
S1C_IW_GRDH_1SDV_20250421T053447_20250421T053516_001987_003FE6_9043_COG,2025,2025-04-21,descending,66,VH,RFIT_2169,8.557164093,45.28333171,,,,,,,,,,546.0,10668.0,True,True,False,,,,
S1C_IW_GRDH_1SDV_20250421T053447_20250421T053516_001987_003FE6_9043_COG,2025,2025-04-21,descending,66,VH,RFIT_2170,8.569007919,45.28333171,,,,,,,,,,530.0,10578.0,True,True,False,,,,
