analysis_role,analysis,n,n_wells,beta_hat,crv1_se,crv1_p_two_sided,crv1_ci95_low,crv1_ci95_high,wcr31_webb_p_two_sided
primary,10km_primary,193,32,-0.3067091565754908,0.2260506751692632,0.1846383476645589,-0.76774254815019,0.1543242349992083,0.4941494149414941
prespecified_sensitivity,5km_spatial_scale,186,30,0.2029181477195668,0.1158233334662022,0.0903501977357875,-0.0339671671361307,0.4398034625752643,0.5134513451345134
prespecified_sensitivity,20km_spatial_scale,203,34,-1.0725575883168852,1.178515904754426,0.3693739210689515,-3.470266224827113,1.3251510481933422,0.3166316631663166
prespecified_sensitivity,complete4_track_support,157,26,-0.293574095734687,0.4958396992538471,0.5591177734488062,-1.3147750723335858,0.7276268808642117,0.883988398839884
prespecified_sensitivity,without_antecedent_groundwater,193,32,-0.232495802155637,0.2583483894939549,0.3750948170036671,-0.7594008163834148,0.2944092120721407,0.4405440544054405
